group,item,usd,partner,phase,source,recipient_country,details,partner_comments
Pre-implementation activities,Consultative meeting with NTC,135.00,BNMT,1,SBU,Nepal,"Discuss Programme activities, Project implementation modality and Approval letter from NTC",
Pre-implementation activities,Consultative meeting with MoH,108.00,BNMT,1,SBU,Nepal,"Discuss Programme activities, Project implementation modality",
Pre-implementation activities,Consultative meeting with Local Bodies,"1,144.00",BNMT,1,SBU,Nepal,"Discuss Programme activities, Project implementation modality",
Pre-implementation activities,Consultative meeting with Selected DHO/HFs/DOTs Center/MC/GeneXpert Center,"1,575.00",BNMT,1,SBU,Nepal,"Discuss Programme activities, Project implementation modality",
Pre-implementation activities,Ethical Approval from NHRC,"4,808.00",BNMT,1,SBU,Nepal,3% of project budget is charged by Nepal research council. This amount will therefore depend on project budget.,
Pre-implementation activities,Project Agreement with MoH/SWC/Local Body,296.00,BNMT,1,SBU,Nepal,As per Rules and Regulation of Nepal,
Programme activities,SOP Workshop,"5,853.00",BNMT,1,SBU,Nepal,SOP Workshop and orientation on Drone Modality,
Programme activities,Training/Orientation with Existing Volunteers/Mobilisors,"2,260.00",BNMT,1,SBU,Nepal,Orientation on existing Modality and addition of Drone Modality,
Programme activities,Assesment of Microscopic Center/GeneXpert Center,"8,769.00",BNMT,1,SBU,Nepal,"Remuneration, Transportaton , Lodging and Fooding expenses for Andrew Ramsay as per existing rates",
Programme activities,Identificaton and Screening of Index Cases for Contact Tracing in District,"6,644.00",BNMT,1,SBU,Nepal,Trasportation and photocopy cost for Collection and Preparation for contact tracing for Sputum collection for remote side,
Programme activities,"Training of staff involved at each step of the DrOTS process (flying, suspect case identification, laboratory diagnostics, data management).","4,005.00",BNMT,1,SBU,Nepal,Training for operation of Drones,
Programme activities,Door to Door Sputum Collection,"9,375.00",BNMT,1,SBU,Nepal,Collection of Questionnare and Sputum from remote site,
Programme activities,Mobilization of Lab Personnel,"1,243.00",BNMT,1,SBU,Nepal,Stipend and transportation cost for Community Mobilzer to direct support to active case finding (25% of 258),
Programme activities,Developed and Printing Forms/Formates for Data Collections,"1,010.00",BNMT,1,SBU,Nepal,Developed and printing of forms/formates,
Programme activities,Procured Lab and Sputum Related Materials,"11,466.00",BNMT,1,SBU,Nepal,If required and insufficient material,
Programme activities,Procured Tablet/Mobile for data collection,635.00,BNMT,1,SBU,Nepal,Procured equipment for data collection,
Programme activities,Orientation/Training to Data Management,"1,976.00",BNMT,1,SBU,Nepal,Training for data input in developed package,
Programme activities,Procured GeneXpert Machine,96.00,BNMT,1,SBU,Nepal,Transportaton cost to supply to districts,
Programme activities,Repair and Maintenance Microscopes and Supplies,962.00,BNMT,1,SBU,Nepal,"If required, Repair and Maintenance Microscope",
Programme activities,Identificaton and Screening of Index Cases for Contact Tracing in District,"2,530.00",BNMT,1,SBU,Nepal,Trasportation and photocopy cost for Collection and Preparation for contact tracing for Sputum collection for remote side,
Programme activities,Mobilization of community Mobilizer,"5,077.00",BNMT,1,SBU,Nepal,Stipend and transportation cost for Community Mobilzer to direct support to active case finding,
Knowledge dissemination,Developed and Printing of Visibility Materials,457.00,BNMT,1,SBU,Nepal,"For Project and Donor's Visibilty, community awareness",
Equipment,Translation and printing of MERMS documents,"1,106.00",BNMT,1,SBU,Nepal,Translation and Printing cost of MERMS documents,
Monitoring and Evaluation,Field Monitoring-Field Level Staff,"1,010.00",BNMT,1,SBU,Nepal,Field Monitoring -DSA and Transportation,
Monitoring and Evaluation,Joint Monitoring Visit With NTC/MoH/BNMT/Local Bodies/DHO,"2,260.00",BNMT,1,SBU,Nepal,Planning phase Monitoring -DSA and Transportation,
Monitoring and Evaluation,"3 MERMS Experience Review Meeting with CMs, FCHVs, Volunteers and Programme Personnel","5,576.00",BNMT,1,SBU,Nepal,,
HR,Project Manager (50% FTE),"2,885.00",BNMT,1,SBU,Nepal,Overall manage and responsible for Coordination and management at Project level. Liason with NTC and MoH etc.,
HR,District Co-Ordinator (100% FTE),"4,038.00",BNMT,1,SBU,Nepal,Overall manage and responsible for Programme activities implementation. Based in district.,
HR,LSTM-Senior TB Researcher-20% FTE,"12,000.00",BNMT,1,SBU,Nepal,"Maxine Caws. Based in Kathmandu. Liason with Stony Brook. Co-ordination and advice on research evaluation, implementation and feasibility.",
HR,Executive Director (15% PTE),"1,442.00",BNMT,1,SBU,Nepal,Responsible to Organization level,
HR,Knowledge Management Manager (15% PTE),891.00,BNMT,1,SBU,Nepal,Responsible to Organization level (Techninal input Active Case Finding),
HR,Finance Manager (20 % PTE),"1,188.00",BNMT,1,SBU,Nepal,Responsible for Financial Reporting,
HR,HR/Admin Manager (5 % PTE),297.00,BNMT,1,SBU,Nepal,Responsible for HR and Admin Function,
HR,Staff Settelement Cost,269.00,BNMT,1,SBU,Nepal,DSA and Transportation for First time as per BNMT's HR Policies for programme Manager to Remote area,
Equipment,Equipment,962.00,BNMT,1,SBU,Nepal,1 Laptop with Asses. For Programme Manager,
Administrative,Administrative,"1,183.00",BNMT,1,SBU,Nepal,Contribution for administrative cost to BNTM Central Office during planning phase,
Overhead,Overhead,"10,553.00",BNMT,1,SBU,Nepal,,
Programme activities,Planning/Review meeting with MOH/NTC,370.00,BNMT,2,SBU,Nepal,Conduct One day Planning meeting with NTC,
Programme activities,Planning/Sharing Meeting with Local Body/Health Facilities and other concerned stakeholders,"1,983.00",BNMT,2,SBU,Nepal,Conduct One day Planning meeting,
Programme activities,Kick Off Meeting,"5,853.00",BNMT,2,SBU,Nepal,Kick off Meting of Programme,
Programme activities,Door to door sputum collection,"27,837.00",BNMT,2,SBU,Nepal,Collection of questionnaire and sputum from remote site (75% of 258),
Programme activities,Mobilization of community Mobilizer,"5,077.00",BNMT,2,SBU,Nepal,Stipend and transportation cost for Community Mobilzer to direct support to active case finding,
Programme activities,Mobilization of Lab Personnel,"1,797.00",BNMT,2,SBU,Nepal,"Cost of Lab test, Incentive to Lab personnel as per existing rules and regulation",
Administrative,Developed and printing forms/formates for data collections,"1,010.00",BNMT,2,SBU,Nepal,Developed and printing of forms/formates,
Administrative,Procured Lab and Sputum Related Materials,"11,466.00",BNMT,2,SBU,Nepal,If required and insufficient material,
Equipment,Procured Tablet/Mobile for data collection,288.00,BNMT,2,SBU,Nepal,Procured equipment for data collection,
Equipment,Repair and Maintenance Microscopes and Supplies,481.00,BNMT,2,SBU,Nepal,"If required, Repair and Maintenance Microscope",
Equipment,Benchtop centrifuge for xtrapulm samples at Pyuthan hospital,"2,000.00",BNMT,2,SBU,Nepal,,
